source,target,weight
tomato,boeuf,8.061e-05
garlic,butter,5.374e-05
black_olive,tomato,0.0010479
duck,onion,0.00016122
peppercorn,butter,2.687e-05
peppercorn,mushroom,2.687e-05
fennel,white_wine,2.687e-05
sugar,cream,2.687e-05
parsley,anchovy,2.687e-05
white,potato,0.0013166
carrot,vinegar,0.00010748
boeuf,spring_onion,2.687e-05
tomato,orange,8.061e-05
sugar,rum,2.687e-05
butter,dark_chocolate,2.687e-05
cinnamon,apple,0.00018809
red_pepper,butter,2.687e-05
spring_onion,chive,2.687e-05
carrot,chervil,0.00010748
vegetable_oil,parsley,2.687e-05
castor_sugar,vanilla_extract,0.00072549
almond,milk,0.00042992
jambon,mushroom,0.00010748
tarragon,spring_onion,2.687e-05
coriander_seed,onion,2.687e-05
ingredient,tomato,0.00091359
cinnamon,sugar,0.00018809
bacon,tomato,0.00037618
rice,grain,2.687e-05
spring_onion,lemon,2.687e-05
white,vinegar,0.0014241
tomato_paste,spring_onion,0.00064488
tomato,chive,8.061e-05
thyme,chive,5.374e-05
apple,butter,0.00018809
lamb,tomato,8.061e-05
juniper_berry,thyme,5.374e-05
red_wine,mushroom,2.687e-05
white,milk,0.0016928
poulet,tarragon,2.687e-05
pork,shallot,0.00045679
pork,shoulder,0.00045679
carrot,beef_stock,0.00010748
garlic,saffron,2.687e-05
onion,chive,2.687e-05
carrot,rosemary,0.00010748
heavy_cream,chive,8.061e-05
tomato,butter,8.061e-05
boeuf,mushroom,2.687e-05
tomato_paste,peppercorn,0.00064488
carrot,chou,0.00010748
egg,chive,8.061e-05
thyme,sage,5.374e-05
