field,count
Roma:_Authentic_Recipes_From_In_and_Around_the_Eternal_City,57
Rustic_Italian_Food,179
Rustico:_Regional_Italian_Country_Cooking,209
SPQR:_Modern_Italian_Food_and_Wine,85
Salumi:_The_Craft_of_Italian_Dry_Curing,97
Saveur_Cooks_Authentic_Italian:_Savoring_the_Recipes_and_Traditions_of_the_World_s_Favorite_Cuisine,123
Savoring_Italy:_Recipes_and_Reflections_on_Italian_Cooking_(Williams-Sonoma_Savoring_Series),138
Savoring_Tuscany_(Williams-Sonoma_Savoring_series):_Recipes_and_Reflections_on_Tuscan_Cooking,135
Savour_Italy:_A_Discovery_of_Taste,117
Scott_Conant_s_New_Italian_Cooking:_More_Than_125_Recipes_for_Everyday_Eating__Relaxed_Weekend_Cooking__and_Elegant_Entertaining,130
Sicilian_Home_Cooking:_Family_Recipes_from_Gangivecchio,177
Sicily,50
Simple_Italian_Sandwiches:_Recipes_from_America_s_Favorite_Panini_Bar,70
Simply_Tuscan:_Recipes_for_a_Well-Lived_Life,135
Something_Italian:_Recipes_from_My_Days_at_Otto__Nove__Caffe_e_Cucina__Il_Bacaro__Caffe_Vini_Spuntini__Melbourne_Wine_Room__and_Icebergs_Dining_Room_and_Bar,143
Sopranos_Family_Cookbook:_As_Compiled_by_Artie_Bucco,100
Step-by-Step_Italian_Regional_Cooking,32
Stir:_Mixing_it_Up_in_the_Italian_Tradition,144
Sweet_Maria_s_Italian_Cookie_Tray:_A_Cookbook,70
Sweet_Myrtle_Bitter_Honey:_The_Mediterranean_Flavors_of_Sardinia,128
The_Antipasto_Table:_200_Simple_Italian_Recipes_to_Serve_as_First_Courses__Side_Dishes_or_Entire_Meals,196
The_Art_of_Pasta,176
The_Authentic_Italian_Kitchen:_Pasta,156
The_Babbo_Cookbook,200
The_Best_Italian_Classics,308
The_Best_of_Bugialli,63
The_Best_of_Gourmet_2004:_Featuring_the_Flavors_of_Rome,336
The_Ciao_Bella_Book_of_Gelato_and_Sorbetto:_Bold__Fresh_Flavors_to_Make_at_Home,134
The_Classic_Food_of_Northern_Italy,165
The_Classic_Italian_Cookbook:_The_Art_of_Italian_Cooking_and_the_Italian_Art_of_Eating,270
The_Classic_Pasta_Cookbook,103
The_Complete_Italian_Vegetarian_Cookbook:_350_Essential_Recipes_For_Inspired_Everyday_Eating,349
The_Cooking_of_Italy_(Foods_of_the_World),108
The_Country_Cooking_of_Italy,244
The_Delia_Collection:_Italian,54
The_Fine_Art_of_Italian_Cooking:_The_Classic_Cookbook__Updated_Expanded,318
The_Food_and_Cooking_of_Milan_and_Bologna:_Classic_Dishes_from_the_North-West_of_Italy,66
The_Food_and_Cooking_of_Rome_and_Naples:_65_Classic_Dishes_from_Central_Italy_and_Sardinia,67
