Cuisine, Degree, Avg Neig Degree
chinese,0.049041,213.2609
chinese,0.0021322,350
chinese,0.0085288,123.25
chinese,0.036247,226.3529
chinese,0.085288,163.325
chinese,0.0021322,54
chinese,0.029851,204.7857
chinese,0.47974,78.1778
chinese,0.036247,134.1765
chinese,0.0021322,288
chinese,0.0021322,68
chinese,0.01919,251
chinese,0.28998,99.1029
chinese,0.33689,99.3165
chinese,0.098081,168.6739
chinese,0.59488,66.0502
chinese,0.010661,315.2
chinese,0.023454,219.8182
chinese,0.03838,180.8333
chinese,0.49467,75.3491
chinese,0.33475,97.6497
chinese,0.017058,184.375
chinese,0.0042644,236
chinese,0.0085288,163
chinese,0.13646,142.7188
chinese,0.017058,198.625
chinese,0.027719,231.9231
chinese,0.01919,208.6667
chinese,0.10021,167
chinese,0.15565,144.5205
chinese,0.078891,145.3243
chinese,0.017058,266.125
chinese,0.10235,166.3125
chinese,0.012793,101.8333
chinese,0.027719,250.6154
chinese,0.0085288,249.25
chinese,0.098081,169.7174
chinese,0.029851,217.4286
chinese,0.061834,133.1724
chinese,0.051173,182.9583
chinese,0.11087,155.1154
chinese,0.078891,165.1081
chinese,0.017058,190.875
chinese,0.10661,171.52
chinese,0.0021322,340
chinese,0.040512,214.2105
chinese,0.044776,196.9048
chinese,0.010661,296.4
chinese,0.021322,181.9
chinese,0.076759,178.5833
chinese,0.15991,137.2667
chinese,0.20896,122.9184
chinese,0.0042644,300
chinese,0.12367,138.6724
chinese,0.053305,88.64
chinese,0.070362,182.1212
chinese,0.014925,256.1429
chinese,0.18124,136.8941
chinese,0.014925,167.1429
chinese,0.12154,156.6316
chinese,0.012793,100
chinese,0.0021322,17
chinese,0.0085288,63.5
chinese,0.0085288,261
chinese,0.18124,137.2471
chinese,0.027719,247.6154
chinese,0.18763,132.4205
chinese,0.0085288,54.25
chinese,0.095949,103.6667
chinese,0.30064,103.2979
chinese,0.010661,233.2
chinese,0.31343,99.1088
chinese,0.19403,104.1648
chinese,0.16205,142.6579
chinese,0.044776,218.381
chinese,0.014925,99.5714
chinese,0.044776,224.7143
chinese,0.0063966,150.3333
chinese,0.16418,141.8182
chinese,0.023454,243.5455
chinese,0.72495,55.5735
chinese,0.010661,57.4
chinese,0.18124,133.3529
chinese,0.074627,145.3143
chinese,0.049041,211.3043
chinese,0.29638,99
chinese,0.053305,200.44
chinese,0.051173,192.9583
chinese,0.0042644,296.5
chinese,0.0021322,340
