Cuisine,degree,clusCoeff
chinese,2,1
chinese,6,0.73333
chinese,3,1
chinese,16,0.33333
chinese,17,1
chinese,16,0.70833
chinese,24,0.91304
chinese,32,0.94758
chinese,4,1
chinese,20,0.98947
chinese,45,0.85354
chinese,3,1
chinese,30,0.9954
chinese,2,1
chinese,44,0.54334
chinese,5,1
chinese,3,1
chinese,1,0
chinese,10,0.71111
chinese,1,0
chinese,11,0.76364
chinese,7,0.61905
chinese,29,0.61084
chinese,156,0.43689
chinese,2,1
chinese,50,0.83265
chinese,37,0.93994
chinese,19,0.84795
chinese,6,1
chinese,45,0.80202
chinese,10,0.91111
chinese,87,0.73563
chinese,1,0
chinese,87,0.62791
chinese,1,0
chinese,46,0.90338
mexican,6,1
mexican,2,1
mexican,7,0.95238
mexican,6,1
mexican,140,0.46978
mexican,1,0
mexican,10,1
mexican,83,0.74728
mexican,94,0.70899
mexican,50,0.91755
mexican,2,1
mexican,2,1
mexican,11,1
mexican,13,0.84615
mexican,17,0.97794
mexican,13,0.98718
mexican,9,1
mexican,1,0
mexican,94,0.69755
mexican,3,1
mexican,143,0.51876
mexican,54,0.81831
mexican,136,0.51089
mexican,108,0.62703
mexican,6,1
mexican,14,0.97802
mexican,4,1
mexican,11,0.90909
mexican,3,1
mexican,149,0.47796
mexican,10,0.82222
mexican,82,0.7031
mexican,41,0.96463
mexican,54,0.79944
mexican,14,1
mexican,8,1
mexican,63,0.74808
mexican,4,1
mexican,19,0.91228
mexican,6,1
mexican,7,1
mexican,4,1
mexican,10,1
mexican,6,0.93333
mexican,23,0.96443
mexican,6,1
mexican,20,1
mexican,32,0.91532
mexican,182,0.37599
mexican,29,0.70443
mexican,14,1
mexican,8,1
mexican,214,0.29994
mexican,35,0.85042
mexican,124,0.57133
mexican,15,0.98095
mexican,92,0.699
mexican,3,0.33333
mexican,89,0.57201
mexican,27,0.95157
mexican,12,1
mexican,290,0.19912
mexican,1,0
mexican,9,1
mexican,26,0.91077
mexican,30,0.9908
mexican,9,0.91667
mexican,1,0
mexican,5,0.9
mexican,56,0.87338
mexican,89,0.60802
mexican,20,0.98947
mexican,31,0.98925
mexican,4,1
mexican,5,1
mexican,2,1
mexican,1,0
mexican,8,1
mexican,55,0.86734
mexican,2,1
mexican,4,0.5
mexican,45,0.72222
mexican,1,0
mexican,44,0.85624
mexican,106,0.61096
mexican,180,0.40813
mexican,126,0.54984
mexican,2,1
mexican,38,0.87055
mexican,138,0.49529
mexican,53,0.84761
mexican,4,1
mexican,21,0.95238
mexican,21,0.87143
mexican,65,0.8476
mexican,17,1
mexican,2,1
mexican,15,0.95238
mexican,4,1
mexican,55,0.85926
mexican,73,0.77626
mexican,302,0.19082
mexican,43,0.80399
mexican,121,0.5657
mexican,10,0.97778
mexican,1,0
mexican,167,0.41087
mexican,26,0.88923
mexican,102,0.71928
mexican,1,0
mexican,2,1
mexican,92,0.66269
mexican,3,1
mexican,23,0.90119
mexican,2,1
mexican,22,0.94372
mexican,3,1
mexican,9,1
mexican,10,1
mexican,10,0.97778
mexican,178,0.40951
mexican,61,0.83607
mexican,68,0.80817
mexican,36,0.81746
mexican,10,0.88889
mexican,194,0.33823
mexican,23,0.85375
mexican,37,0.83634
mexican,7,1
mexican,26,0.67692
mexican,192,0.35269
mexican,12,0.95455
mexican,1,0
mexican,55,0.92593
mexican,12,0.92424
mexican,41,0.92439
mexican,184,0.39035
mexican,154,0.45964
mexican,18,0.93464
mexican,9,1
mexican,70,0.7735
mexican,2,1
mexican,3,0.33333
mexican,5,1
mexican,49,0.8767
mexican,1,0
mexican,149,0.49329
mexican,6,1
mexican,126,0.57016
mexican,34,0.78075
mexican,1,0
mexican,33,0.97348
mexican,23,0.98419
mexican,9,0.83333
mexican,2,1
mexican,21,0.92381
mexican,1,0
mexican,9,1
mexican,1,0
mexican,1,0
mexican,23,0.88142
mexican,11,0.90909
mexican,36,0.95714
mexican,17,0.99265
mexican,49,0.86565
mexican,27,0.92593
mexican,146,0.48351
mexican,74,0.60496
mexican,100,0.62
mexican,22,0.93939
mexican,114,0.59339
mexican,109,0.61264
mexican,3,1
mexican,5,1
mexican,20,0.90526
mexican,16,1
mexican,4,0.66667
mexican,6,0.73333
mexican,61,0.7929
mexican,137,0.53574
mexican,42,0.88502
mexican,10,0.97778
mexican,124,0.53147
mexican,22,0.7619
mexican,100,0.68707
mexican,12,0.77273
mexican,79,0.6777
mexican,9,1
mexican,2,1
mexican,7,1
mexican,3,1
mexican,2,1
mexican,34,0.95365
mexican,11,1
mexican,53,0.84978
mexican,1,0
mexican,10,1
mexican,24,0.84783
mexican,2,1
mexican,1,0
mexican,47,0.72803
mexican,35,0.98655
mexican,95,0.59574
mexican,44,0.75581
mexican,5,0.3
mexican,2,1
mexican,120,0.55868
mexican,3,1
mexican,1,0
mexican,13,1
mexican,5,1
mexican,9,1
mexican,9,0.86111
mexican,5,1
mexican,51,0.86353
mexican,92,0.77019
mexican,8,1
mexican,24,0.93116
mexican,78,0.80719
mexican,7,1
mexican,2,1
mexican,194,0.36798
mexican,30,0.89195
mexican,14,1
mexican,204,0.34599
mexican,360,0.14123
mexican,12,1
mexican,4,1
mexican,13,0.82051
mexican,1,0
mexican,96,0.63531
mexican,3,1
mexican,5,1
mexican,30,0.76092
mexican,7,1
mexican,85,0.7591
mexican,81,0.48981
mexican,30,0.97931
mexican,26,0.91692
mexican,186,0.38849
mexican,96,0.66886
mexican,1,0
mexican,12,1
mexican,160,0.36737
mexican,136,0.52669
mexican,9,1
mexican,2,1
mexican,142,0.52043
mexican,5,1
mexican,9,1
mexican,50,0.86204
mexican,36,0.85556
mexican,6,0.86667
mexican,1,0
mexican,92,0.67105
mexican,31,0.89462
mexican,2,1
mexican,7,1
mexican,41,0.90488
mexican,79,0.68549
mexican,181,0.40374
mexican,12,1
mexican,1,0
mexican,3,1
mexican,2,1
mexican,5,1
mexican,11,1
mexican,1,0
mexican,71,0.72676
mexican,15,0.98095
mexican,41,0.89878
mexican,5,1
mexican,14,1
mexican,22,1
mexican,8,0.75
mexican,31,0.86237
mexican,24,0.9529
mexican,15,0.90476
mexican,3,1
mexican,2,1
mexican,7,0.90476
mexican,6,1
mexican,3,1
mexican,220,0.30394
mexican,11,0.85455
mexican,2,1
mexican,3,1
mexican,95,0.71579
mexican,106,0.60701
mexican,17,0.98529
mexican,1,0
mexican,1,0
mexican,1,0
mexican,207,0.33211
mexican,2,1
mexican,26,0.77846
mexican,112,0.59041
mexican,11,1
mexican,22,0.88745
mexican,9,0.94444
mexican,242,0.27533
mexican,1,0
mexican,27,0.88034
mexican,138,0.49222
mexican,208,0.33203
mexican,55,0.87407
mexican,1,0
mexican,90,0.64569
mexican,48,0.88475
mexican,7,1
mexican,7,1
mexican,13,1
mexican,4,1
mexican,188,0.37143
mexican,97,0.64197
mexican,64,0.78274
mexican,33,0.9375
mexican,1,0
mexican,7,1
mexican,6,1
mexican,9,0.88889
mexican,9,1
mexican,13,0.97436
mexican,5,0.6
mexican,7,0.7619
mexican,27,0.93447
mexican,18,1
mexican,40,0.92179
mexican,8,0.89286
mexican,1,0
mexican,242,0.27091
mexican,1,0
mexican,6,1
mexican,88,0.67921
mexican,52,0.85068
mexican,6,1
mexican,1,0
mexican,10,1
mexican,11,0.96364
mexican,34,0.86809
mexican,275,0.2211
mexican,70,0.82526
mexican,65,0.875
mexican,25,0.99333
mexican,36,0.90794
mexican,4,1
mexican,150,0.42801
mexican,11,1
mexican,4,1
mexican,30,0.85287
mexican,40,0.87308
mexican,46,0.84348
mexican,6,1
mexican,1,0
mexican,28,0.93651
mexican,17,0.96324
mexican,9,1
mexican,291,0.20223
mexican,126,0.59721
mexican,38,0.83642
mexican,108,0.57667
mexican,63,0.86482
mexican,17,0.88235
mexican,13,1
mexican,25,0.92333
mexican,64,0.81895
mexican,27,0.9886
mexican,17,0.96324
mexican,12,1
mexican,2,1
mexican,3,1
mexican,5,1
mexican,68,0.86567
mexican,7,1
mexican,124,0.59454
mexican,80,0.77975
mexican,39,0.79757
mexican,307,0.18528
mexican,31,0.95484
mexican,10,0.93333
mexican,8,0.64286
mexican,52,0.82504
mexican,137,0.54465
mexican,13,0.96154
mexican,2,1
mexican,23,0.8419
mexican,2,1
mexican,15,1
mexican,4,1
mexican,9,1
mexican,1,0
mexican,148,0.50368
mexican,103,0.65848
mexican,15,0.66667
mexican,81,0.78642
mexican,2,1
mexican,64,0.79464
mexican,64,0.7495
mexican,42,0.63066
mexican,252,0.26102
mexican,78,0.76557
mexican,34,0.81283
mexican,67,0.6237
mexican,50,0.70367
mexican,21,0.77143
mexican,91,0.70574
mexican,16,1
mexican,2,1
mexican,3,1
mexican,3,1
mexican,18,0.94118
mexican,59,0.85915
mexican,7,1
mexican,33,0.92992
mexican,8,1
mexican,10,0.88889
mexican,86,0.74993
mexican,6,0.93333
mexican,34,0.96257
mexican,8,1
mexican,2,1
mexican,12,1
mexican,2,1
mexican,41,0.7061
mexican,62,0.80222
mexican,2,1
mexican,15,1
mexican,22,0.93939
mexican,72,0.69679
mexican,72,0.68036
mexican,6,1
mexican,12,1
mexican,31,0.70538
mexican,5,1
mexican,56,0.80195
mexican,43,0.95127
mexican,11,0.96364
mexican,26,0.91692
mexican,12,1
mexican,2,1
mexican,8,0.92857
mexican,75,0.65153
mexican,27,0.9943
mexican,121,0.5365
mexican,1,0
mexican,39,0.82186
mexican,8,1
mexican,1,0
mexican,43,0.94795
mexican,31,0.69677
mexican,51,0.86275
mexican,1,0
mexican,88,0.63741
mexican,35,0.85714
mexican,30,0.91264
mexican,74,0.71418
mexican,4,1
mexican,61,0.76721
mexican,20,0.97895
mexican,1,0
mexican,18,0.95425
mexican,4,1
mexican,4,1
mexican,169,0.42625
mexican,39,0.7085
mexican,23,0.917
mexican,2,1
spanish,17,0.98529
spanish,124,0.49895
spanish,10,1
spanish,4,1
spanish,1,0
spanish,130,0.45081
spanish,26,0.97538
spanish,45,0.81515
spanish,10,0.86667
spanish,1,0
spanish,4,1
spanish,83,0.74464
spanish,2,1
spanish,21,0.98571
spanish,38,0.93883
spanish,12,1
spanish,17,0.92647
spanish,7,1
spanish,6,1
spanish,88,0.70873
spanish,125,0.54568
spanish,3,1
spanish,41,0.85
spanish,16,1
spanish,6,1
spanish,149,0.48168
spanish,21,0.95238
spanish,57,0.85526
spanish,191,0.35437
spanish,134,0.49276
spanish,18,0.95425
spanish,2,1
spanish,10,1
spanish,5,1
spanish,125,0.57058
spanish,46,0.91304
spanish,66,0.8
spanish,32,0.71169
spanish,4,0.83333
spanish,45,0.90606
spanish,3,1
spanish,32,0.86492
spanish,39,0.95816
spanish,50,0.82367
spanish,17,0.71324
spanish,7,1
spanish,1,0
spanish,180,0.36853
spanish,8,1
spanish,177,0.34393
spanish,100,0.64606
spanish,73,0.81583
spanish,121,0.47617
spanish,4,1
spanish,34,0.7861
spanish,25,0.79667
spanish,127,0.51119
spanish,11,0.87273
spanish,62,0.82496
spanish,18,0.98693
spanish,2,1
spanish,118,0.44792
spanish,27,0.94017
spanish,2,1
spanish,35,0.90588
spanish,30,0.97931
spanish,73,0.76674
spanish,55,0.85791
