Cuisine,Rank,Frequency
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,187,1
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
