Cuisine,degree,comm
chinese,0.0042644,0.00026161
chinese,0.012793,0.0012361
chinese,0.0063966,0.00079193
chinese,0.034115,0.0013749
chinese,0.036247,0.020667
chinese,0.034115,0.0071088
chinese,0.051173,0.031059
chinese,0.06823,0.057559
chinese,0.0085288,0.00084739
chinese,0.042644,0.023752
chinese,0.095949,0.092083
chinese,0.0063966,0.00065536
chinese,0.063966,0.052731
chinese,0.0042644,0.00012518
chinese,0.093817,0.043832
chinese,0.010661,0.0015892
chinese,0.0063966,0.00084044
chinese,0.0021322,5.6755e-05
chinese,0.021322,0.0030575
chinese,0.0021322,9.2736e-05
chinese,0.023454,0.0035314
chinese,0.014925,0.00016787
chinese,0.061834,0.024683
chinese,0.33262,0.51315
chinese,0.0042644,0.00012113
chinese,0.10661,0.10532
chinese,0.078891,0.066694
chinese,0.040512,0.01632
chinese,0.012793,0.0023184
chinese,0.095949,0.085305
chinese,0.021322,0.005433
chinese,0.1855,0.26934
chinese,0.0021322,0
chinese,0.1855,0.23072
chinese,0.0021322,4.274e-06
chinese,0.098081,0.1022
mexican,0.012876,0.0030995
mexican,0.0042918,0.00035901
mexican,0.015021,0.0017744
mexican,0.012876,0.0031264
mexican,0.30043,0.43327
mexican,0.0021459,5.9592e-05
mexican,0.021459,0.006433
mexican,0.17811,0.24628
mexican,0.20172,0.29327
mexican,0.1073,0.11869
mexican,0.0042918,2.2637e-05
mexican,0.0042918,0.00033265
mexican,0.023605,0.0084022
mexican,0.027897,0.0083049
mexican,0.036481,0.018222
mexican,0.027897,0.010979
mexican,0.019313,0.0054362
mexican,0.0021459,6.2575e-05
mexican,0.20172,0.29825
mexican,0.0064378,0.00028821
mexican,0.30687,0.50906
mexican,0.11588,0.11672
mexican,0.29185,0.44527
mexican,0.23176,0.347
mexican,0.012876,0.0016765
mexican,0.030043,0.012407
mexican,0.0085837,0.00094529
mexican,0.023605,0.0051154
mexican,0.0064378,0.00047904
mexican,0.31974,0.51297
mexican,0.021459,0.0030814
mexican,0.17597,0.22445
mexican,0.087983,0.088987
mexican,0.11588,0.11801
mexican,0.030043,0.012749
mexican,0.017167,0.0017596
mexican,0.13519,0.14455
mexican,0.0085837,0.0012948
mexican,0.040773,0.016596
mexican,0.012876,0.0024425
mexican,0.015021,0.0026905
mexican,0.0085837,0.00049506
mexican,0.021459,0.0059535
mexican,0.012876,0.001645
mexican,0.049356,0.027675
mexican,0.012876,0.0017744
mexican,0.042918,0.028417
mexican,0.06867,0.048275
mexican,0.39056,0.61228
mexican,0.062232,0.021305
mexican,0.030043,0.01376
mexican,0.017167,0.0034517
mexican,0.45923,0.67815
