Cuisine,closeness,betweeness
indian,0.50221,4.1635e-05
indian,0.52969,0.00061232
indian,0.4989,1.0518e-05
indian,0.47396,0
indian,0.62759,0.0080916
indian,0.48715,0
indian,0.39497,4.5639e-06
indian,0.49836,3.6171e-06
indian,0.51881,7.9182e-05
indian,0.48046,0
indian,0.39497,0
indian,0.45867,0
indian,0.4903,5.3857e-06
indian,0.4903,0
indian,0.48404,0
indian,0.56312,0.00093022
indian,0.40088,0.0002083
indian,0.51297,3.6506e-06
indian,0.46429,0
indian,0.49403,0
indian,0.47347,0
indian,0.48507,0
indian,0.4825,0
indian,0.48977,3.2273e-06
indian,0.50895,1.1844e-05
indian,0.48353,0
indian,0.49945,3.7943e-06
indian,0.63459,0.010595
indian,0.47744,0.0024315
indian,0.41065,0
indian,0.49618,0
indian,0.5871,0.0019999
indian,0.46381,2.3586e-06
indian,0.55152,0.00049601
indian,0.48559,0
indian,0.50725,2.9796e-06
indian,0.53974,0.0014846
indian,0.61074,0.0060257
indian,0.48404,1.1779e-06
indian,0.50838,0.0044929
indian,0.46429,0
indian,0.59014,0.0055552
indian,0.47794,0
indian,0.48559,0
indian,0.4903,7.6436e-07
indian,0.54952,0.00046961
indian,0.48977,1.5623e-06
indian,0.51181,1.3753e-05
indian,0.48559,0
indian,0.50952,9.4082e-05
indian,0.46956,0
indian,0.49296,1.9364e-07
indian,0.5254,1.8755e-05
indian,0.46476,0
indian,0.36111,2.9924e-06
indian,0.64175,0.0094579
indian,0.59399,0.0043903
indian,0.5,1.3831e-07
chinese,0.4639,0
chinese,0.44539,0
chinese,0.47906,2.68e-07
chinese,0.4676,0
chinese,0.52815,0.0010355
chinese,0.48351,4.2416e-06
chinese,0.484,0
chinese,0.54726,0.00067112
chinese,0.48251,2.7612e-07
chinese,0.49735,1.3248e-06
chinese,0.42025,0
chinese,0.52111,0.00026925
chinese,0.46344,0
chinese,0.50539,4.2856e-05
chinese,0.44038,0
chinese,0.52053,3.994e-05
chinese,0.44709,1.3218e-05
chinese,0.53114,0.00040889
chinese,0.51201,2.7207e-05
chinese,0.34384,7.096e-06
chinese,0.47278,0
chinese,0.47566,0
chinese,0.34209,0
chinese,0.63636,0.013591
chinese,0.48753,1.1708e-06
chinese,0.53723,0.0016932
chinese,0.52053,7.3663e-05
chinese,0.34209,0
chinese,0.40997,0.00021181
chinese,0.54918,0.0013874
chinese,0.51823,0.00014073
chinese,0.47374,1.9387e-07
chinese,0.32123,0
chinese,0.77649,0.095338
chinese,0.52697,0.00054192
chinese,0.47808,0
chinese,0.49473,4.4576e-05
chinese,0.48551,1.3748e-05
chinese,0.47711,8.84e-07
chinese,0.51425,2.5107e-05
chinese,0.50593,3.2211e-05
chinese,0.46482,0
chinese,0.57405,0.0019195
chinese,0.48753,1.1479e-06
chinese,0.43832,1.7022e-06
chinese,0.67,0.026231
chinese,0.45623,0
chinese,0.51652,0.0052936
chinese,0.40085,1.8837e-05
chinese,0.58846,0.016009
chinese,0.46116,0
chinese,0.49735,5.4291e-06
chinese,0.39915,0
chinese,0.49213,0.0010779
chinese,0.42367,0
chinese,0.53846,0.00030097
chinese,0.5397,0.0027436
chinese,0.51482,8.3169e-05
chinese,0.56848,0.0027345
chinese,0.51089,2.1489e-05
chinese,0.40747,0
chinese,0.5678,0.0045558
chinese,0.49473,1.4608e-06
chinese,0.48956,9.2176e-05
chinese,0.44329,0
chinese,0.51652,6.6701e-05
chinese,0.44966,0
chinese,0.38601,0
chinese,0.51369,5.6074e-05
chinese,0.46574,0
chinese,0.52344,0.00052322
chinese,0.56235,0.0016491
chinese,0.43107,0.00011955
chinese,0.47857,0
chinese,0.37193,3.8987e-06
chinese,0.41578,0
chinese,0.45623,0
chinese,0.43955,0
chinese,0.44795,0
chinese,0.51938,5.6518e-05
chinese,0.50376,2.2486e-05
chinese,0.46161,0
chinese,0.38889,0
chinese,0.50868,2.7139e-05
chinese,0.47278,0.0043436
chinese,0.54854,0.00092763
chinese,0.58261,0.005037
chinese,0.6532,0.02131
chinese,0.45712,0
chinese,0.53478,0.00059042
chinese,0.53175,0.010417
chinese,0.38696,0
chinese,0.50214,6.2575e-05
chinese,0.45712,0
chinese,0.41431,0
chinese,0.54662,0.00055863
chinese,0.46482,0
chinese,0.39379,1.2575e-05
chinese,0.49213,3.4296e-06
chinese,0.49947,0.0001296
chinese,0.48753,5.5743e-05
chinese,0.5637,0.00091681
chinese,0.49473,1.7867e-07
chinese,0.46116,0
chinese,0.60516,0.01005
chinese,0.41875,0
chinese,0.48103,9.5915e-08
chinese,0.49265,1.3889e-06
chinese,0.32145,0
chinese,0.52227,0.0019773
chinese,0.51034,0.00062114
chinese,0.47183,0
chinese,0.47614,0
chinese,0.58333,0.0095769
chinese,0.60205,0.0069999
chinese,0.68268,0.045443
chinese,0.47614,2.4627e-07
chinese,0.51766,0.00050034
chinese,0.40431,0
chinese,0.4963,2.3265e-06
chinese,0.43386,0.0002015
chinese,0.52111,3.3108e-05
chinese,0.4662,0
chinese,0.39181,0
chinese,0.50053,6.1172e-07
chinese,0.47041,0
chinese,0.52994,0.0014924
chinese,0.51034,3.8426e-05
chinese,0.50376,1.4156e-06
chinese,0.45801,0
chinese,0.33912,0
chinese,0.35131,0
chinese,0.48501,0
chinese,0.62784,0.044354
chinese,0.48053,4.7108e-06
chinese,0.47614,8.3888e-06
chinese,0.56574,0.0015806
chinese,0.50539,0.0013616
chinese,0.55967,0.0072068
chinese,0.51257,0.0045748
chinese,0.37222,1.139e-06
chinese,0.48004,4.0999e-07
chinese,0.4911,3.2043e-07
chinese,0.363,0
chinese,0.49265,5.4972e-05
chinese,0.49368,0.00041894
chinese,0.4639,0
chinese,0.49682,0.00068553
chinese,0.43832,0
chinese,0.56848,0.0015778
chinese,0.41578,0
chinese,0.4963,2.6563e-05
chinese,0.49265,0
chinese,0.4676,0
chinese,0.54157,0.00065166
chinese,0.48351,1.4697e-07
chinese,0.44923,0
chinese,0.45935,0
chinese,0.40606,0
chinese,0.45314,0
chinese,0.42792,4.2194e-06
chinese,0.44966,0
chinese,0.34844,0
chinese,0.40154,3.6279e-05
chinese,0.71277,0.050647
chinese,0.52697,0.00040963
chinese,0.49735,1.0182e-06
chinese,0.484,0
chinese,0.46252,0
chinese,0.48152,0
chinese,0.67775,0.036369
chinese,0.47808,3.9936e-07
chinese,0.50539,0.0045131
chinese,0.54282,0.00054299
chinese,0.63464,0.0095981
chinese,0.37281,6.6842e-06
chinese,0.49265,0.00050853
chinese,0.45846,0
chinese,0.48103,3.753e-05
chinese,0.47136,0
chinese,0.54095,0.0007122
chinese,0.46026,0
chinese,0.4845,2.0019e-06
chinese,0.47136,0
chinese,0.5252,0.0043719
chinese,0.55635,0.0010875
chinese,0.42025,0
chinese,0.48501,0
chinese,0.60205,0.0089384
chinese,0.4747,0.0004007
chinese,0.50539,0.00064711
chinese,0.52053,0.0021744
chinese,0.6083,0.014425
chinese,0.50107,1.6595e-05
chinese,0.45183,0
chinese,0.46713,0
chinese,0.47326,0
chinese,0.42063,0.00023576
chinese,0.50539,9.7865e-05
chinese,0.47422,9.4404e-07
chinese,0.4676,0
chinese,0.40017,1.3017e-07
chinese,0.63636,0.01367
chinese,0.46713,0.00011126
chinese,0.51201,0.00032789
chinese,0.79357,0.12069
chinese,0.52285,0.00010237
chinese,0.48803,0.0085304
chinese,0.54918,0.004983
chinese,0.4911,2.0712e-07
chinese,0.40961,0
chinese,0.46528,0
chinese,0.53846,0.00039212
chinese,0.47808,0
chinese,0.47326,0
chinese,0.4911,1.2947e-06
chinese,0.43832,0
chinese,0.61792,0.011549
chinese,0.45935,0
chinese,0.50703,7.2203e-05
chinese,0.48501,0
