Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
cardamom,163,36,27,26
red_wine,164,35,68,22
sugar_snap_pea,165,35,32,30
bread,166,34,53,23
wine_vinegar,167,34,13,29
garlic_chive,168,33,14,28
rosemary,169,33,33,22
melon,170,33,12,30
cashew_nut,171,33,12,30
banana,172,32,40,21
lobster,173,32,20,27
chicken_liver,174,32,12,29
white_rice,175,31,8,29
mussel,176,31,40,24
cherry tomato,177,30,16,26
mustard_seed,178,30,20,22
white_bread,179,30,34,22
tea_leaf,180,30,19,25
curd,181,30,4,29
white_turnip,182,30,28,25
sake,183,29,24,25
mayonnaise,184,29,33,16
yogurt,185,29,33,17
rump,186,28,6,26
meat,187,27,15,22
beef_stock,188,27,20,21
quail,189,27,12,23
dry_mustard,190,27,10,24
orange_peel,191,26,8,23
apple,192,26,18,17
liver,193,25,8,22
dill_weed,194,25,16,20
jelly,195,25,51,10
allspice,196,25,41,15
sweet_potato,197,25,18,20
carp,198,25,20,21
bouillon,199,24,10,21
cake,200,24,18,20
chicken leg,201,24,12,21
curry,202,24,6,22
turkey,203,24,6,22
roast_pork,204,24,6,22
romaine_lettuce,205,23,4,22
squash,206,23,4,22
taro_root,207,22,6,20
cod,208,22,4,21
squab,209,22,16,19
olive_oil,210,22,12,15
chinese_celery,211,21,2,21
beer,212,21,2,21
lobster_tail,213,21,2,21
leg_of_lamb,214,21,2,21
red_snapper,215,21,4,20
wild_rice,216,21,6,19
loin,217,21,8,19
hot_pepper,218,21,10,18
top_round,219,21,4,20
aniseed,220,20,4,19
dried_apricot,221,20,18,13
galangal,222,20,9,17
sirloin,223,20,8,18
safflower_oil,224,20,14,16
pineapple_juice,225,19,8,17
pear,226,19,16,14
flounder,227,19,4,18
sour_cream,228,19,12,13
chili_sauce,229,19,2,19
date,230,18,14,13
fenugreek_seed,231,18,2,18
bay_scallop,232,18,4,17
garlic_sauce,233,18,2,18
dumpling,234,18,4,17
neck,235,18,4,17
cheese,236,18,20,12
rocket,237,18,6,16
pastry,238,17,12,11
black_tea,239,17,6,15
raspberry,240,17,15,9
caper,241,17,7,12
mince,242,17,2,17
blue_crab,243,17,2,17
swordfish,244,17,6,15
plum,245,16,10,13
strawberry,246,16,12,7
chili_powder,247,16,4,15
kaffir,248,16,3,15
tuna,249,16,5,14
rum,250,16,14,9
cornmeal,251,16,14,10
evaporated_milk,252,16,19,9
chuck,253,16,4,15
grape,254,15,2,15
liquorice,255,15,10,12
dark_chocolate,256,15,13,8
swiss_chard,257,14,2,14
sausage,258,14,2,14
red_cabbage,259,14,2,14
citrus,260,14,2,14
cherry,261,14,10,10
grapefruit,262,14,2,14
roe,263,14,4,13
rump_steak,264,14,2,14
syrup,265,14,9,10
tarragon,266,13,2,13
brisket,267,13,2,13
fettuccine,268,13,2,13
ghee,269,13,5,11
bitter,270,13,4,12
sirloin_steak,271,13,2,13
gem,272,13,2,13
papaya,273,13,2,13
beef_tenderloin,274,13,2,13
lamb_chop,275,13,2,13
veal,276,12,4,11
plain_flour,277,12,4,11
wasabi,278,12,5,10
yam,279,12,4,11
almond_extract,280,12,11,6
tortilla,281,12,2,12
tamarind,282,12,2,12
artichoke,283,11,5,9
cranberry,284,11,6,9
parsnip,285,11,6,9
fava_bean,286,11,4,10
sprout,287,11,4,10
chow_mein,288,11,1,12
saffron,289,11,5,8
persian_melons,290,10,5,8
peach,291,10,3,9
green_tea,292,10,3,9
snap,293,10,2,10
string_bean,294,10,2,10
pomegranate,295,10,4,8
navel_orange,296,10,8,8
soybean_flour,297,10,1,11
medium,298,10,2,10
trout,299,10,2,10
jujube,300,10,1,11
duckling,301,10,2,10
soft-shell_crab,302,10,2,10
round,303,9,2,9
rabbit,304,9,2,9
crystallized_ginger,305,9,2,9
cocoa,306,9,5,6
littleneck_clam,307,9,4,8
radicchio,308,9,2,9
avocado,309,9,2,9
mix,310,9,2,9
tahini,311,9,2,9
brown_rice,312,9,4,8
vanilla_ice_cream,313,8,4,6
molasses,314,8,6,6
mozzarella,315,8,2,8
corn_syrup,316,8,3,7
salad_green,317,8,1,9
steak,318,8,2,8
prosciutto,319,8,2,8
pork_sausage,320,8,1,9
cantaloupe,321,8,3,7
crayfish,322,8,2,8
chutney,323,8,2,8
hazelnut,324,7,2,7
herb,325,7,2,7
hot_sauce,326,7,1,8
anchovy,327,7,3,6
tenderloin,328,7,2,7
berry,329,7,2,7
octopus,330,7,3,6
short_ribs,331,7,2,7
buttermilk,332,7,3,6
condensed_milk,333,7,5,5
halibut,334,7,2,7
kosher,335,7,2,7
snapper,336,7,2,7
lentil,337,7,1,8
lima_bean,338,6,2,6
pecan,339,6,3,5
celery_root,340,6,1,7
vanilla_bean,341,6,2,6
meal,342,6,2,6
malt sugar,343,6,1,7
orange_liqueur,344,6,3,5
apricot,345,6,2,6
pita,346,6,1,7
self-rising_flour,347,6,3,5
adzuki_bean,348,6,1,7
sugarcane,349,5,2,5
bottled_water,350,5,2,5
sole,351,5,2,5
whiting,352,5,1,6
pot_roast,353,5,2,5
loquat,354,5,2,5
seafood,355,5,1,6
pickle,356,5,2,5
sandwich,357,5,1,6
white_bean,358,5,1,6
pumpkin,359,5,2,5
granulated_sugar,360,5,2,5
baguette,361,5,1,6
buckwheat,362,5,1,6
cocoa_powder,363,5,2,5
nectar,364,5,3,4
beetroot,365,5,1,6
pepper_sauce,366,4,2,4
fish_steak,367,4,2,4
fatback,368,4,1,5
soda_water,369,4,1,5
semolina,370,4,1,5
green_olive,371,4,1,5
sage,372,4,2,4
maple_syrup,373,4,2,4
bouillon_cube,374,4,1,5
msg,375,4,1,5
cider,376,4,2,4
kirsch,377,4,2,4
pancake,378,4,1,5
double_cream,379,4,1,5
whipping_cream,380,4,2,4
five_spice_powder,381,4,1,5
haddock,382,4,2,4
garlic_salt,383,4,2,4
striped_bass,384,4,2,4
barley,385,4,1,5
cheddar_cheese,386,4,1,5
hock,387,4,2,4
macadamia_nut,388,4,1,5
miso,389,4,1,5
horseradish,390,3,1,4
smelt,391,3,2,3
broccoli_rabe,392,3,1,4
orange_marmalade,393,3,1,4
fig,394,3,1,4
tongue,395,3,1,4
caviar,396,3,2,3
perch,397,3,1,4
mullet,398,3,1,4
tripe,399,3,2,3
monkfish,400,3,1,4
sea_bream,401,3,1,4
butternut_squash,402,3,1,4
coffee,403,3,1,4
salad,404,3,1,4
whisky,405,3,2,3
smoked_salmon,406,3,1,4
demerara_sugar,407,3,2,3
mandarin_orange,408,3,2,3
artichoke_heart,409,3,2,3
whole_wheat_flour,410,3,1,4
eel,411,3,2,3
beef_tongue,412,3,2,3
red_ginger,413,3,1,4
cream_cheese,414,2,1,3
chervil,415,2,1,3
truffle,416,2,1,3
kumquat,417,2,1,3
lemon_sole,418,2,1,3
fish_cake,419,2,1,3
margarine,420,2,1,3
vanilla_extract,421,2,1,3
milk_powder,422,2,1,3
steamer_clam,423,2,1,3
runner_bean,424,2,1,3
linguine,425,2,1,3
adobo,426,2,1,3
rye,427,2,1,3
watermelon,428,2,1,3
sweet_pickle,429,2,1,3
gherkin,430,2,1,3
tart,431,2,1,3
potato_chip,432,2,1,3
haricot_vert,433,2,1,3
whitebait,434,2,1,3
brown_sauce,435,2,1,3
golden_syrup,436,2,2,2
penne,437,2,1,3
black_olive,438,2,1,3
frog_legs,439,2,1,3
mackerel,440,2,1,3
wafer,441,1,1,2
grouper,442,1,1,2
filling,443,1,1,2
shrimp_sauce,444,1,1,2
orzo,445,1,1,2
ginseng,446,1,1,2
citron,447,1,1,2
cherry pepper,448,1,1,2
sour_cherry,449,1,1,2
dill_pickle,450,1,1,2
nectarine,451,1,1,2
beverage,452,1,1,2
pearl_barley,453,1,1,2
goat_cheese,454,1,1,2
hard-shell_clam,455,1,1,2
blueberry,456,1,1,2
puff,457,1,1,2
savory,458,1,1,2
cherrystone_clam,459,1,1,2
sweetbread,460,1,1,2
liver_sausage,461,1,1,2
phyllo,462,1,1,2
black_bass,463,1,1,2
hard-cooked_egg,464,1,1,2
agar,465,1,1,2
stem_lettuce,466,1,1,2
amaranth,467,1,1,2
spaghetti,468,1,1,2
walnut_oil,469,1,1,2
