Cuisine,degree,eigen
indian,0.017582,0.0072601
indian,0.31648,0.098372
indian,0.017582,0.0056776
indian,0.0065934,0.0037516
indian,0.01978,0.010963
indian,0.026374,0.014385
indian,0.0021978,0.00025685
indian,0.27033,0.083108
indian,0.2022,0.068882
indian,0.12088,0.051908
indian,0.38242,0.10785
indian,0.13407,0.055535
indian,0.07033,0.033538
indian,0.35604,0.10377
indian,0.15604,0.060522
indian,0.043956,0.021933
indian,0.024176,0.011533
indian,0.10989,0.0432
indian,0.048352,0.023353
indian,0.068132,0.029431
indian,0.0087912,0.0047124
indian,0.0065934,0.0039474
indian,0.085714,0.037377
indian,0.31648,0.097776
indian,0.048352,0.023392
indian,0.032967,0.012273
indian,0.0065934,0.002727
indian,0.013187,0.0076039
indian,0.01978,0.0074086
indian,0.059341,0.028471
indian,0.0043956,0.0025366
indian,0.18901,0.07075
indian,0.0021978,0.0013297
indian,0.0087912,0.0031555
indian,0.4989,0.12101
indian,0.010989,0.0060248
indian,0.057143,0.025837
indian,0.0065934,0.0028773
indian,0.017582,0.010042
indian,0.23297,0.082283
indian,0.017582,0.0075489
indian,0.028571,0.015491
indian,0.0043956,0.0020966
indian,0.037363,0.019099
indian,0.16703,0.062947
indian,0.0087912,0.004518
indian,0.0043956,0.0023944
indian,0.41099,0.11182
indian,0.0087912,0.0028807
indian,0.017582,0.0081782
indian,0.18462,0.070748
indian,0.063736,0.030343
indian,0.22198,0.078269
indian,0.035165,0.01548
indian,0.0043956,0.0025366
indian,0.013187,0.0069108
indian,0.081319,0.036381
indian,0.010989,0.0055643
indian,0.054945,0.027293
indian,0.068132,0.030878
indian,0.035165,0.017977
indian,0.11429,0.047935
indian,0.065934,0.02872
indian,0.0087912,0.0051143
indian,0.0087912,0.0044149
indian,0.074725,0.03362
indian,0.16923,0.06053
indian,0.22637,0.074379
indian,0.052747,0.02295
indian,0.07033,0.0322
indian,0.11648,0.048917
indian,0.0087912,0.0052065
indian,0.017582,0.0088416
indian,0.017582,0.0075707
indian,0.31209,0.09461
indian,0.1956,0.070459
indian,0.054945,0.025412
indian,0.096703,0.042383
indian,0.0065934,0.0034164
indian,0.035165,0.016052
indian,0.037363,0.018969
indian,0.065934,0.029763
indian,0.059341,0.027765
indian,0.010989,0.0064976
indian,0.013187,0.007404
indian,0.0065934,0.0022966
indian,0.030769,0.013425
indian,0.07033,0.033138
indian,0.037363,0.019696
indian,0.015385,0.0078754
indian,0.0065934,0.0038277
indian,0.0065934,0.0029298
indian,0.7033,0.13448
indian,0.0043956,0.0015319
indian,0.16923,0.065866
indian,0.14725,0.05919
indian,0.028571,0.011453
indian,0.017582,0.0087796
indian,0.026374,0.013603
indian,0.16044,0.060961
indian,0.0021978,0.0011618
indian,0.51209,0.1215
indian,0.026374,0.012324
indian,0.01978,0.010503
indian,0.052747,0.026145
indian,0.092308,0.041405
indian,0.017582,0.010123
indian,0.19341,0.065417
indian,0.13626,0.05511
indian,0.059341,0.02482
indian,0.083516,0.038395
indian,0.032967,0.0169
indian,0.032967,0.015356
indian,0.010989,0.0061002
indian,0.013187,0.0065378
indian,0.38242,0.10747
indian,0.021978,0.01167
indian,0.017582,0.0095975
indian,0.81978,0.13819
indian,0.12308,0.051676
indian,0.028571,0.010628
indian,0.07033,0.031035
indian,0.015385,0.0083828
indian,0.38901,0.10644
indian,0.0021978,0.0013297
indian,0.035165,0.018692
indian,0.23736,0.076742
indian,0.12527,0.051165
indian,0.054945,0.025694
indian,0.12747,0.052671
indian,0.030769,0.01498
indian,0.55165,0.12415
indian,0.015385,0.0073618
indian,0.12308,0.052825
indian,0.0043956,0.00091291
indian,0.074725,0.033497
indian,0.032967,0.014824
