Cuisine,degree,betweeness
indian,0.23077,0.00059774
indian,0.010989,0
indian,0.0065934,0
indian,0.013187,7.9346e-06
indian,0.074725,0.00083167
indian,0.037363,0.0018918
indian,0.094505,9.4703e-06
indian,0.043956,1.8999e-07
indian,0.25275,0.001332
indian,0.013187,1.4403e-05
indian,0.050549,4.1635e-05
indian,0.12967,0.00061232
indian,0.041758,1.0518e-05
indian,0.0043956,0
indian,0.41319,0.0080916
indian,0.021978,0
indian,0.0087912,4.5639e-06
indian,0.046154,3.6171e-06
indian,0.09011,7.9182e-05
indian,0.0087912,0
indian,0.015385,0
indian,0.0021978,0
indian,0.035165,5.3857e-06
indian,0.030769,0
indian,0.013187,0
indian,0.23736,0.00093022
indian,0.015385,0.0002083
indian,0.076923,3.6506e-06
indian,0.0021978,0
indian,0.030769,0
indian,0.010989,0
indian,0.017582,0
indian,0.0065934,0
indian,0.026374,3.2273e-06
indian,0.063736,1.1844e-05
indian,0.015385,0
indian,0.043956,3.7943e-06
indian,0.43297,0.010595
indian,0.052747,0.0024315
indian,0.0021978,0
indian,0.03956,0
indian,0.30549,0.0019999
indian,0.01978,2.3586e-06
indian,0.1978,0.00049601
indian,0.01978,0
indian,0.065934,2.9796e-06
indian,0.16044,0.0014846
indian,0.36484,0.0060257
indian,0.015385,1.1779e-06
indian,0.076923,0.0044929
indian,0.0021978,0
indian,0.31209,0.0055552
indian,0.0087912,0
indian,0.010989,0
indian,0.032967,7.6436e-07
indian,0.19121,0.00046961
indian,0.024176,1.5623e-06
indian,0.074725,1.3753e-05
indian,0.01978,0
indian,0.074725,9.4082e-05
indian,0.0065934,0
indian,0.03956,1.9364e-07
indian,0.12308,1.8755e-05
indian,0.0043956,0
indian,0.0043956,2.9924e-06
indian,0.44835,0.0094579
indian,0.32088,0.0043903
indian,0.050549,1.3831e-07
chinese,0.010661,0
chinese,0.0042644,0
chinese,0.029851,2.68e-07
chinese,0.0085288,0
chinese,0.13433,0.0010355
chinese,0.031983,4.2416e-06
chinese,0.031983,0
chinese,0.20896,0.00067112
chinese,0.03838,2.7612e-07
chinese,0.070362,1.3248e-06
chinese,0.0042644,0
chinese,0.1258,0.00026925
chinese,0.012793,0
chinese,0.093817,4.2856e-05
chinese,0.0042644,0
chinese,0.12793,3.994e-05
chinese,0.010661,1.3218e-05
chinese,0.16631,0.00040889
chinese,0.11087,2.7207e-05
chinese,0.0063966,7.096e-06
chinese,0.017058,0
chinese,0.01919,0
chinese,0.0021322,0
chinese,0.44563,0.013591
chinese,0.046908,1.1708e-06
chinese,0.16631,0.0016932
chinese,0.12367,7.3663e-05
chinese,0.0021322,0
chinese,0.025586,0.00021181
chinese,0.20256,0.0013874
chinese,0.10874,0.00014073
chinese,0.027719,1.9387e-07
chinese,0.0021322,0
chinese,0.72068,0.095338
chinese,0.14499,0.00054192
chinese,0.021322,0
chinese,0.053305,4.4576e-05
chinese,0.042644,1.3748e-05
chinese,0.025586,8.84e-07
chinese,0.10661,2.5107e-05
chinese,0.093817,3.2211e-05
chinese,0.014925,0
chinese,0.28998,0.0019195
chinese,0.051173,1.1479e-06
chinese,0.017058,1.7022e-06
chinese,0.52452,0.026231
chinese,0.0063966,0
chinese,0.10874,0.0052936
chinese,0.0085288,1.8837e-05
chinese,0.31557,0.016009
chinese,0.010661,0
chinese,0.066098,5.4291e-06
chinese,0.0085288,0
chinese,0.055437,0.0010779
chinese,0.0042644,0
chinese,0.1855,0.00030097
chinese,0.17697,0.0027436
chinese,0.10235,8.3169e-05
chinese,0.27719,0.0027345
chinese,0.091684,2.1489e-05
chinese,0.0063966,0
chinese,0.26013,0.0045558
chinese,0.061834,1.4608e-06
chinese,0.042644,9.2176e-05
chinese,0.0085288,0
chinese,0.1194,6.6701e-05
chinese,0.0085288,0
chinese,0.0021322,0
chinese,0.095949,5.6074e-05
chinese,0.010661,0
chinese,0.13006,0.00052322
chinese,0.24733,0.0016491
chinese,0.012793,0.00011955
chinese,0.01919,0
chinese,0.010661,3.8987e-06
chinese,0.0042644,0
chinese,0.0063966,0
chinese,0.0042644,0
chinese,0.0063966,0
chinese,0.12367,5.6518e-05
chinese,0.076759,2.2486e-05
chinese,0.010661,0
chinese,0.0042644,0
chinese,0.098081,2.7139e-05
chinese,0.034115,0.0043436
chinese,0.21109,0.00092763
chinese,0.29851,0.005037
chinese,0.48188,0.02131
chinese,0.017058,0
chinese,0.17058,0.00059042
chinese,0.14499,0.010417
chinese,0.0042644,0
chinese,0.072495,6.2575e-05
chinese,0.0063966,0
chinese,0.0021322,0
chinese,0.19829,0.00055863
chinese,0.010661,0
chinese,0.010661,1.2575e-05
chinese,0.057569,3.4296e-06
chinese,0.076759,0.0001296
chinese,0.03838,5.5743e-05
chinese,0.25586,0.00091681
chinese,0.044776,1.7867e-07
chinese,0.017058,0
chinese,0.36247,0.01005
chinese,0.0085288,0
chinese,0.03838,9.5915e-08
chinese,0.051173,1.3889e-06
chinese,0.0021322,0
chinese,0.11301,0.0019773
chinese,0.10021,0.00062114
chinese,0.014925,0
chinese,0.01919,0
chinese,0.29424,0.0095769
chinese,0.371,0.0069999
chinese,0.55437,0.045443
chinese,0.023454,2.4627e-07
chinese,0.11514,0.00050034
chinese,0.0021322,0
chinese,0.063966,2.3265e-06
chinese,0.023454,0.0002015
chinese,0.12793,3.3108e-05
chinese,0.0085288,0
chinese,0.0042644,0
chinese,0.070362,6.1172e-07
chinese,0.01919,0
chinese,0.14499,0.0014924
chinese,0.098081,3.8426e-05
chinese,0.074627,1.4156e-06
chinese,0.0063966,0
chinese,0.0021322,0
chinese,0.0063966,0
chinese,0.029851,0
chinese,0.42431,0.044354
chinese,0.036247,4.7108e-06
chinese,0.025586,8.3888e-06
chinese,0.26226,0.0015806
chinese,0.072495,0.0013616
chinese,0.23667,0.0072068
chinese,0.10448,0.0045748
chinese,0.0085288,1.139e-06
chinese,0.034115,4.0999e-07
chinese,0.042644,3.2043e-07
chinese,0.0021322,0
chinese,0.057569,5.4972e-05
chinese,0.070362,0.00041894
chinese,0.012793,0
chinese,0.053305,0.00068553
chinese,0.0021322,0
chinese,0.27292,0.0015778
chinese,0.0042644,0
chinese,0.053305,2.6563e-05
chinese,0.044776,0
chinese,0.014925,0
chinese,0.19829,0.00065166
chinese,0.03838,1.4697e-07
chinese,0.0042644,0
chinese,0.0085288,0
chinese,0.0021322,0
chinese,0.0085288,0
chinese,0.012793,4.2194e-06
chinese,0.0063966,0
chinese,0.0042644,0
chinese,0.010661,3.6279e-05
chinese,0.61407,0.050647
chinese,0.14925,0.00040963
chinese,0.053305,1.0182e-06
chinese,0.044776,0
chinese,0.0063966,0
chinese,0.029851,0
chinese,0.54371,0.036369
chinese,0.025586,3.9936e-07
chinese,0.078891,0.0045131
chinese,0.18977,0.00054299
