Cuisine,degree,closeness
indian,0.094505,0.51587
indian,0.043956,0.50165
indian,0.25275,0.56592
indian,0.013187,0.47945
indian,0.050549,0.50221
indian,0.12967,0.52969
indian,0.041758,0.4989
indian,0.0043956,0.47396
indian,0.41319,0.62759
indian,0.021978,0.48715
indian,0.0087912,0.39497
indian,0.046154,0.49836
indian,0.09011,0.51881
indian,0.0087912,0.48046
indian,0.015385,0.39497
indian,0.0021978,0.45867
indian,0.035165,0.4903
indian,0.030769,0.4903
indian,0.013187,0.48404
indian,0.23736,0.56312
indian,0.015385,0.40088
indian,0.076923,0.51297
indian,0.0021978,0.46429
indian,0.030769,0.49403
indian,0.010989,0.47347
indian,0.017582,0.48507
indian,0.0065934,0.4825
indian,0.026374,0.48977
indian,0.063736,0.50895
indian,0.015385,0.48353
indian,0.043956,0.49945
indian,0.43297,0.63459
indian,0.052747,0.47744
indian,0.0021978,0.41065
indian,0.03956,0.49618
indian,0.30549,0.5871
indian,0.01978,0.46381
indian,0.1978,0.55152
indian,0.01978,0.48559
indian,0.065934,0.50725
indian,0.16044,0.53974
indian,0.36484,0.61074
indian,0.015385,0.48404
indian,0.076923,0.50838
indian,0.0021978,0.46429
indian,0.31209,0.59014
indian,0.0087912,0.47794
indian,0.010989,0.48559
indian,0.032967,0.4903
indian,0.19121,0.54952
indian,0.024176,0.48977
indian,0.074725,0.51181
indian,0.01978,0.48559
indian,0.074725,0.50952
indian,0.0065934,0.46956
indian,0.03956,0.49296
indian,0.12308,0.5254
indian,0.0043956,0.46476
indian,0.0043956,0.36111
indian,0.44835,0.64175
indian,0.32088,0.59399
indian,0.050549,0.5
chinese,0.010661,0.4639
chinese,0.0042644,0.44539
chinese,0.029851,0.47906
chinese,0.0085288,0.4676
chinese,0.13433,0.52815
chinese,0.031983,0.48351
chinese,0.031983,0.484
chinese,0.20896,0.54726
chinese,0.03838,0.48251
chinese,0.070362,0.49735
chinese,0.0042644,0.42025
chinese,0.1258,0.52111
chinese,0.012793,0.46344
chinese,0.093817,0.50539
chinese,0.0042644,0.44038
chinese,0.12793,0.52053
chinese,0.010661,0.44709
chinese,0.16631,0.53114
chinese,0.11087,0.51201
chinese,0.0063966,0.34384
chinese,0.017058,0.47278
chinese,0.01919,0.47566
chinese,0.0021322,0.34209
chinese,0.44563,0.63636
chinese,0.046908,0.48753
chinese,0.16631,0.53723
chinese,0.12367,0.52053
chinese,0.0021322,0.34209
chinese,0.025586,0.40997
chinese,0.20256,0.54918
chinese,0.10874,0.51823
chinese,0.027719,0.47374
chinese,0.0021322,0.32123
chinese,0.72068,0.77649
chinese,0.14499,0.52697
chinese,0.021322,0.47808
chinese,0.053305,0.49473
chinese,0.042644,0.48551
chinese,0.025586,0.47711
chinese,0.10661,0.51425
chinese,0.093817,0.50593
chinese,0.014925,0.46482
chinese,0.28998,0.57405
chinese,0.051173,0.48753
chinese,0.017058,0.43832
chinese,0.52452,0.67
chinese,0.0063966,0.45623
chinese,0.10874,0.51652
chinese,0.0085288,0.40085
chinese,0.31557,0.58846
chinese,0.010661,0.46116
chinese,0.066098,0.49735
chinese,0.0085288,0.39915
chinese,0.055437,0.49213
chinese,0.0042644,0.42367
chinese,0.1855,0.53846
chinese,0.17697,0.5397
chinese,0.10235,0.51482
chinese,0.27719,0.56848
chinese,0.091684,0.51089
chinese,0.0063966,0.40747
chinese,0.26013,0.5678
chinese,0.061834,0.49473
chinese,0.042644,0.48956
chinese,0.0085288,0.44329
chinese,0.1194,0.51652
chinese,0.0085288,0.44966
chinese,0.0021322,0.38601
chinese,0.095949,0.51369
chinese,0.010661,0.46574
chinese,0.13006,0.52344
chinese,0.24733,0.56235
chinese,0.012793,0.43107
chinese,0.01919,0.47857
chinese,0.010661,0.37193
chinese,0.0042644,0.41578
chinese,0.0063966,0.45623
chinese,0.0042644,0.43955
chinese,0.0063966,0.44795
chinese,0.12367,0.51938
chinese,0.076759,0.50376
chinese,0.010661,0.46161
chinese,0.0042644,0.38889
chinese,0.098081,0.50868
chinese,0.034115,0.47278
chinese,0.21109,0.54854
chinese,0.29851,0.58261
chinese,0.48188,0.6532
chinese,0.017058,0.45712
chinese,0.17058,0.53478
chinese,0.14499,0.53175
chinese,0.0042644,0.38696
chinese,0.072495,0.50214
chinese,0.0063966,0.45712
chinese,0.0021322,0.41431
chinese,0.19829,0.54662
chinese,0.010661,0.46482
chinese,0.010661,0.39379
chinese,0.057569,0.49213
chinese,0.076759,0.49947
chinese,0.03838,0.48753
chinese,0.25586,0.5637
chinese,0.044776,0.49473
chinese,0.017058,0.46116
chinese,0.36247,0.60516
chinese,0.0085288,0.41875
chinese,0.03838,0.48103
chinese,0.051173,0.49265
chinese,0.0021322,0.32145
chinese,0.11301,0.52227
chinese,0.10021,0.51034
chinese,0.014925,0.47183
chinese,0.01919,0.47614
chinese,0.29424,0.58333
chinese,0.371,0.60205
chinese,0.55437,0.68268
chinese,0.023454,0.47614
chinese,0.11514,0.51766
chinese,0.0021322,0.40431
chinese,0.063966,0.4963
chinese,0.023454,0.43386
chinese,0.12793,0.52111
chinese,0.0085288,0.4662
chinese,0.0042644,0.39181
chinese,0.070362,0.50053
