Cuisine, Degree, Avg Neig Degree
indian,0.76988,0.13448
indian,0.41858,0.0015319
indian,0.54361,0.065866
indian,0.53719,0.05919
indian,0.48611,0.011453
indian,0.48199,0.0087796
indian,0.49136,0.013603
indian,0.54167,0.060961
indian,0.39947,0.0011618
indian,0.66912,0.1215
indian,0.49136,0.012324
indian,0.48456,0.010503
indian,0.50443,0.026145
indian,0.51646,0.041405
indian,0.48507,0.010123
indian,0.55018,0.065417
indian,0.53341,0.05511
indian,0.5011,0.02482
indian,0.51529,0.038395
indian,0.48925,0.0169
indian,0.48767,0.015356
indian,0.47945,0.0061002
indian,0.47594,0.0065378
indian,0.6157,0.10747
indian,0.48611,0.01167
indian,0.48611,0.0095975
indian,0.84572,0.13819
indian,0.52601,0.051676
indian,0.4715,0.010628
indian,0.50952,0.031035
indian,0.4825,0.0083828
indian,0.61821,0.10644
indian,0.46429,0.0013297
indian,0.49618,0.018692
indian,0.56522,0.076742
indian,0.52969,0.051165
indian,0.50055,0.025694
indian,0.52969,0.052671
indian,0.48977,0.01498
indian,0.68731,0.12415
indian,0.48148,0.0073618
indian,0.5254,0.052825
indian,0.37854,0.00091291
indian,0.51181,0.033497
indian,0.49349,0.014824
indian,0.46956,0.0063076
indian,0.37822,0.00094153
indian,0.47396,0.0026563
indian,0.50668,0.032438
indian,0.48611,0.010714
indian,0.46429,0.0013297
indian,0.48507,0.011488
indian,0.45637,0.017839
indian,0.48715,0.012186
indian,0.48404,0.0084653
indian,0.46859,0.0036834
indian,0.47347,0.0061851
indian,0.50388,0.027492
indian,0.5,0.017695
indian,0.5871,0.096734
indian,0.47844,0.0048046
indian,0.49189,0.016723
indian,0.47945,0.0068315
indian,0.56242,0.08174
indian,0.48046,0.0060911
indian,0.47495,0.0036849
indian,0.47445,0.004593
indian,0.51181,0.031439
indian,0.47101,0.011254
indian,0.51587,0.042232
indian,0.50165,0.021921
indian,0.56592,0.082311
indian,0.47945,0.0057387
indian,0.50221,0.0211
indian,0.52969,0.050311
indian,0.4989,0.018698
indian,0.47396,0.0026563
indian,0.62759,0.11034
indian,0.48715,0.011601
indian,0.39497,0.0024654
indian,0.49836,0.022106
indian,0.51881,0.040023
indian,0.48046,0.0048874
indian,0.39497,0.0042367
indian,0.45867,0.0013267
indian,0.4903,0.014585
indian,0.4903,0.016593
indian,0.48404,0.0068082
indian,0.56312,0.082715
indian,0.40088,0.0045251
indian,0.51297,0.035837
indian,0.46429,0.0013297
indian,0.49403,0.015837
indian,0.47347,0.0052986
indian,0.48507,0.0093264
indian,0.4825,0.003836
indian,0.48977,0.012955
indian,0.50895,0.026913
indian,0.48353,0.007782
indian,0.49945,0.019532
indian,0.63459,0.11298
indian,0.47744,0.015198
indian,0.41065,0.0012099
indian,0.49618,0.020005
indian,0.5871,0.094954
indian,0.46381,0.0066996
indian,0.55152,0.072764
indian,0.48559,0.010333
indian,0.50725,0.030229
indian,0.53974,0.060548
indian,0.61074,0.10275
indian,0.48404,0.0059832
indian,0.50838,0.026752
indian,0.46429,0.0013297
indian,0.59014,0.093145
indian,0.47794,0.005171
indian,0.48559,0.0063189
indian,0.4903,0.015669
indian,0.54952,0.070045
indian,0.48977,0.011214
indian,0.51181,0.03341
indian,0.48559,0.010458
indian,0.50952,0.028706
indian,0.46956,0.0037548
indian,0.49296,0.017652
indian,0.5254,0.053226
indian,0.46476,0.002389
