Cuisine, Rank, Value
indian,523,0.017216
indian,524,0.017094
indian,525,0.017094
indian,526,0.017094
indian,527,0.017094
indian,528,0.017094
indian,529,0.016972
indian,530,0.016972
indian,531,0.016972
indian,532,0.01685
indian,533,0.01685
indian,534,0.01685
indian,535,0.016728
indian,536,0.016728
indian,537,0.016606
indian,538,0.016606
indian,539,0.016484
indian,540,0.016361
indian,541,0.016361
indian,542,0.016361
indian,543,0.016361
indian,544,0.016239
indian,545,0.016117
indian,546,0.016117
indian,547,0.015995
indian,548,0.015995
indian,549,0.015995
indian,550,0.015995
indian,551,0.015873
indian,552,0.015873
indian,553,0.015873
indian,554,0.015751
indian,555,0.015751
indian,556,0.015751
indian,557,0.015751
indian,558,0.015751
indian,559,0.015751
indian,560,0.015751
indian,561,0.015751
indian,562,0.015751
indian,563,0.015751
indian,564,0.015629
indian,565,0.015629
indian,566,0.015629
indian,567,0.015629
indian,568,0.015629
indian,569,0.015507
indian,570,0.015507
indian,571,0.015507
indian,572,0.015385
indian,573,0.015385
indian,574,0.015385
indian,575,0.015385
indian,576,0.015263
indian,577,0.015263
indian,578,0.015263
indian,579,0.015263
indian,580,0.015263
indian,581,0.015263
indian,582,0.015263
indian,583,0.015263
indian,584,0.015263
indian,585,0.01514
indian,586,0.01514
indian,587,0.01514
indian,588,0.01514
indian,589,0.015018
indian,590,0.015018
indian,591,0.015018
indian,592,0.015018
indian,593,0.014896
indian,594,0.014774
indian,595,0.014774
indian,596,0.014774
indian,597,0.014652
indian,598,0.014652
indian,599,0.014652
indian,600,0.014652
indian,601,0.014652
indian,602,0.014652
indian,603,0.014652
indian,604,0.01453
indian,605,0.01453
indian,606,0.01453
indian,607,0.01453
indian,608,0.014408
indian,609,0.014408
indian,610,0.014408
indian,611,0.014408
indian,612,0.014286
indian,613,0.014286
indian,614,0.014286
indian,615,0.014286
indian,616,0.014286
indian,617,0.014286
indian,618,0.014164
indian,619,0.014164
indian,620,0.014164
indian,621,0.014164
indian,622,0.014042
indian,623,0.014042
indian,624,0.014042
indian,625,0.014042
indian,626,0.014042
indian,627,0.014042
indian,628,0.014042
indian,629,0.014042
indian,630,0.014042
indian,631,0.013919
indian,632,0.013919
indian,633,0.013919
indian,634,0.013919
indian,635,0.013797
indian,636,0.013797
indian,637,0.013797
indian,638,0.013797
indian,639,0.013797
indian,640,0.013797
indian,641,0.013797
indian,642,0.013675
indian,643,0.013675
indian,644,0.013553
indian,645,0.013553
indian,646,0.013553
indian,647,0.013553
indian,648,0.013553
indian,649,0.013553
indian,650,0.013553
indian,651,0.013553
indian,652,0.013553
indian,653,0.013553
indian,654,0.013553
indian,655,0.013431
indian,656,0.013431
indian,657,0.013431
indian,658,0.013431
indian,659,0.013431
indian,660,0.013431
indian,661,0.013309
indian,662,0.013309
indian,663,0.013309
indian,664,0.013187
indian,665,0.013187
indian,666,0.013187
indian,667,0.013187
indian,668,0.013187
indian,669,0.013187
indian,670,0.013187
indian,671,0.013065
indian,672,0.013065
indian,673,0.013065
indian,674,0.013065
indian,675,0.013065
indian,676,0.012943
indian,677,0.012943
indian,678,0.012943
indian,679,0.012821
indian,680,0.012821
indian,681,0.012821
indian,682,0.012821
indian,683,0.012821
indian,684,0.012821
indian,685,0.012821
indian,686,0.012821
indian,687,0.012698
indian,688,0.012698
indian,689,0.012698
indian,690,0.012576
indian,691,0.012576
indian,692,0.012576
indian,693,0.012576
indian,694,0.012576
indian,695,0.012576
indian,696,0.012454
indian,697,0.012454
indian,698,0.012454
indian,699,0.012454
indian,700,0.012454
indian,701,0.012454
indian,702,0.012454
indian,703,0.012332
indian,704,0.012332
indian,705,0.012332
indian,706,0.012332
indian,707,0.012332
indian,708,0.012332
indian,709,0.012332
indian,710,0.01221
indian,711,0.01221
indian,712,0.01221
indian,713,0.01221
indian,714,0.01221
indian,715,0.01221
indian,716,0.01221
indian,717,0.01221
indian,718,0.01221
indian,719,0.012088
indian,720,0.012088
indian,721,0.012088
indian,722,0.012088
indian,723,0.012088
indian,724,0.011966
indian,725,0.011966
indian,726,0.011966
indian,727,0.011844
indian,728,0.011844
indian,729,0.011844
indian,730,0.011844
indian,731,0.011722
indian,732,0.011722
indian,733,0.011722
indian,734,0.011722
indian,735,0.011722
indian,736,0.011722
indian,737,0.011722
indian,738,0.011722
indian,739,0.0116
indian,740,0.0116
indian,741,0.0116
indian,742,0.0116
indian,743,0.0116
indian,744,0.011477
indian,745,0.011477
indian,746,0.011477
indian,747,0.011477
indian,748,0.011477
indian,749,0.011477
indian,750,0.011477
indian,751,0.011477
indian,752,0.011477
indian,753,0.011355
indian,754,0.011355
indian,755,0.011355
indian,756,0.011355
indian,757,0.011355
indian,758,0.011355
indian,759,0.011355
indian,760,0.011355
indian,761,0.011355
indian,762,0.011355
indian,763,0.011355
indian,764,0.011355
indian,765,0.011355
indian,766,0.011233
indian,767,0.011233
indian,768,0.011233
indian,769,0.011111
indian,770,0.011111
indian,771,0.011111
indian,772,0.011111
indian,773,0.011111
indian,774,0.011111
indian,775,0.010989
indian,776,0.010989
indian,777,0.010989
indian,778,0.010989
indian,779,0.010989
indian,780,0.010989
indian,781,0.010989
indian,782,0.010989
indian,783,0.010989
indian,784,0.010989
indian,785,0.010989
indian,786,0.010989
indian,787,0.010989
indian,788,0.010867
indian,789,0.010867
indian,790,0.010867
indian,791,0.010867
indian,792,0.010867
indian,793,0.010867
indian,794,0.010867
indian,795,0.010745
indian,796,0.010745
indian,797,0.010745
indian,798,0.010745
indian,799,0.010745
indian,800,0.010745
indian,801,0.010745
indian,802,0.010745
indian,803,0.010623
indian,804,0.010623
indian,805,0.010623
indian,806,0.010623
indian,807,0.010623
indian,808,0.010623
indian,809,0.010623
indian,810,0.010501
indian,811,0.010501
indian,812,0.010501
indian,813,0.010501
indian,814,0.010501
indian,815,0.010501
indian,816,0.010501
indian,817,0.010501
indian,818,0.010501
indian,819,0.010379
indian,820,0.010379
indian,821,0.010379
indian,822,0.010379
indian,823,0.010379
indian,824,0.010379
indian,825,0.010379
indian,826,0.010256
indian,827,0.010256
indian,828,0.010256
indian,829,0.010256
indian,830,0.010256
indian,831,0.010256
indian,832,0.010256
indian,833,0.010256
indian,834,0.010256
indian,835,0.010256
indian,836,0.010256
indian,837,0.010256
indian,838,0.010256
indian,839,0.010256
indian,840,0.010134
indian,841,0.010134
indian,842,0.010134
indian,843,0.010134
indian,844,0.010134
indian,845,0.010134
indian,846,0.010134
indian,847,0.010134
indian,848,0.010134
indian,849,0.010134
indian,850,0.010134
indian,851,0.010134
indian,852,0.010012
indian,853,0.010012
indian,854,0.010012
indian,855,0.010012
indian,856,0.010012
